SKU,Article Code,Brand Name,Title,Bullet Points,Description,Keywords,BARCODE
KNB5311,KNB5311,Krypton,Krypton KNB5311 Mixer Grinder,"• 550W Powerful Copper Motor
 • 1.5 Ltr. Stainless Steel Jar
 • 0.5Ltr.Chutney Jar
 • Replaceable Blades
 • Double Oil Seal
 • Inbuilt Flow Breakers
 • Optimal Jar And Blade Fit
 • 3-Speed Rotary Control With Incher
 • Extra Replaceable Liquidizer Blade
 • AC 220-240V 50/60Hz 550W",Krypton KNB5311 Mixer Grinder,"blender, Blender, kitchen blender, blender jar, hand blender, cooking acessory, kitchen items, multifunctional blender, blnder, best blender, krypton Blender",
KNB6021,KNB6021,Krypton,Krypton KNB6021 4 In 1 Blender,"• 4 In 1 Juicer And Blender
 • 600W Powerful Motor With Overheat Protection
 • 1.6L Plastic Jar With Filler Cap
 • 2 Speeds & Pulse Piano Button Switch Control
 • Stainless Steel Blades And Filter Basket
 • Safety Interlock
 • Ac 220-240V 50/60Hz 400-600W
 • Stainless Steel Cutting Blade
 • Motor Overheat Protection
 • Safety Locks
 • 1.6 Litre Plastic Jar
 • 600W Max Powerful Copper Core Motor",Krypton KNB6021 4 In 1 Blender,"blender, Blender, kitchen blender, blender jar, hand blender, cooking acessory, kitchen items, multifunctional blender, blnder, best blender, krypton Blender",
KNB6029,KNB6029,Krypton,Krypton KNB6029 3 In 1 Blender,"• 3-in-1 Blender
 • 1500ml blender jar
 • Grinds beans & nuts in seconds with the grinder cups
 • Powerful 300W for heavy duty use
 • Overheat protection for long lasting life
 • 3 different speed powers
 • Pulse function
 • Easy to clean
 • Non-slip feet
 • Safety locks for jar & cup
 • 220-240V~50/60Hz 300W",Krypton KNB6029 3 In 1 Blender,"blender, Blender, kitchen blender, blender jar, hand blender, cooking acessory, kitchen items, multifunctional blender, blnder, best blender, krypton Blender",
KNB6074,KNB6074,Krypton,Krypton KNB6074 2 In 1 Blender,"• 2 In1 Plastic Jar Blender/1.5L 1X6
 • 350-400W Powerful motor with overheat protection
 • 1.5L PC Jar - unbreakable
 • Mill for coffee bean grinding
 • Stainless steel blade
 • 4 speed with PULSE function
 • Drip hole on lid 
 • Non-slip feet
 • AC: 220-240V 50/60Hz 350-400W",Krypton KNB6074 2 In 1 Blender,"blender, Blender, kitchen blender, blender jar, hand blender, cooking acessory, kitchen items, multifunctional blender, blnder, best blender, krypton Blender",
KNB6103,KNB6103,Krypton,Krypton KNB6103 2 In 1 Blender,"• 550W Powerful motor with overheat protection
 • 1.5L good quality plastic Jar
 • Mill for coffee bean grinding
 • Stainless steel blade
 • 4 speed with PULSE function
 • Drip hole on lid
 • Non-slip feet
 • AC: 220-240V 50/60Hz 550W",Krypton KNB6103 2 In 1 Blender,"blender, Blender, kitchen blender, blender jar, hand blender, cooking acessory, kitchen items, multifunctional blender, blnder, best blender, krypton Blender",
KNB6125,KNB6125,Krypton,Krypton KNB6125 2 In 1 Blender,"• Full Plastic Housing
 • 1.5L Plastic Jar
 • 2 Speeds With Pulse
 • Stainless Steel Blade
 • Power Copper Motor
 • Anti-Slip Free Design With Coffee Grinder
 • AC 220-240V 50-60Hz 400W",Krypton KNB6125 2 In 1 Blender,"blender, Blender, kitchen blender, blender jar, hand blender, cooking acessory, kitchen items, multifunctional blender, blnder, best blender, krypton Blender",
KNB6136,KNB6136,Krypton,Krypton KNB6136 3 In 1 Blender,"• 1.5L unbreakable PC jar
 • With one PC coffee grinder
 • With one PC meat mincer
 • Two speeds with pulse function
 • Top-cover with fill-in lid and measuring cup
 • AC 220-240V 50/60Hz 300W",Krypton KNB6136 3 In 1 Blender,"blender, Blender, kitchen blender, blender jar, hand blender, cooking acessory, kitchen items, multifunctional blender, blnder, best blender, krypton Blender",
KNBK5071,KNBK5071,Krypton,Krypton KNBK5071 Bug Killer,"• Automatic Pest-Killer 
 • No Toxic Fumes 
 • No Foul Odors 
 • Pollution Free 
 • Ac 220 - 230v 50hz 32w",Krypton KNBK5071 Bug Killer,"insect killer, Krypton insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
KNBK5111,KNBK5111,Krypton,Krypton KNBK5111 Bug Killer,"• Watt Ultra- Violet Tubes 
 • No Poisonous Vapor, Irrating Odor Or Contamination 
 • Easy To Install And Clean
 • Low Power Consumption
 • Easy To Replace Tubes
 • Suitable For Home, Office
 • AC: 220-240V 50/60Hz 6W",Krypton KNBK5111 Bug Killer,"insect killer, Krypton insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
KNBK5112,KNBK5112,Krypton,Krypton KNBK5112 Bug Killer,"• Automatic Pest-Killer 
 • No Toxic Fumes 
 • No Foul Odours 
 • Pollution Free 
 • 2*20w",Krypton KNBK5112 Bug Killer,"insect killer, Krypton insect killer, insect kiler, bug killer, best insect killer, pest killer, electric insect killer",
KNBS5086,KNBS5086,Krypton,Krypton KNBS5086 Body Scale,"• Equipped with high precision strain gauge sensor system
 • With 6mm tempered glass platform:300x300x6mm
 • LCD size:74x28mm (1.0 inches) 
 • 18mm super slim design 
 • Low power/Over load indication
 • Auto on/Auto off 
 • Product size: 300x300x18mm/Product weight: 1500g 
 • Capacity: 180kg/400lb/Division: 0.1kg/0.2lb
 • Power: 1pcs x 3V CR2032 battery (included",Krypton KNBS5086 Body Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, krypton scale, krypton personal scale",
KNBS5114,KNBS5114,Krypton,Krypton KNBS5114 Body Scale,"• 0.7mm Cold Rolling Steel
 • Safety In Use
 • Safety Round Corner Design
 • Stand Weighing
 • Easy To Use
 • Anti-Skid Pads At The Bottom",Krypton KNBS5114 Body Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, krypton scale, krypton personal scale",
KNBS5115,KNBS5115,Krypton,Krypton KNBS5115 Body Scale,"• Capacity:150 kg/330Ib/24st 
 • Division:100g 
 • 51 .5*24.8mrn LCD digits
 • 5mm tempered glass 
 • 1 *CR2032 Lithium battery (included)
 • Auto on
 • Weighing unit switch between kg/lb/st
 • With auto zero and auto off function
 • Low battery and overload indication 
 • Automatic zero and switch off",Krypton KNBS5115 Body Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, krypton scale, krypton personal scale",
KNBS5138,KNBS5138,Krypton,Krypton KNBS5138 Bathroom Scale,"• Maximum Weight Of 130 Kg,
 • 0.7mm Cold Rolling Steel, Safety In Use
 • Safety Round Corner Design
 • Colorful Paper Cover
 • Health And Environmental Protection, Without Battery
 • Stand Weighing, Easy To Use
 • Dial Readings, Responsive, Clear,
 • Use Anti-Skid Pads At the Bottom of the Scale, Prevent Slippery, Safety in Use.",Krypton KNBS5138 Bathroom Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, krypton scale, krypton personal scale",
KNBS5139,KNBS5139,Krypton,Krypton KNBS5139 Bathroom Scale,"• Maximum Weight Of 130 Kg,
 • 0.7mm Cold Rolling Steel, Safety In Use
 • Safety Round Corner Design
 • Colorful Paper Cover
 • Health And Environmental Protection, Without Battery
 • Stand Weighing, Easy To Use
 • Dial Readings, Responsive, Clear,
 • Use Anti-Skid Pads At the Bottom of the Scale, Prevent Slippery, Safety in Use.",Krypton KNBS5139 Bathroom Scale,"weighing scale, personal scale, weight meauring scale, fitness scale, fitness tools, krypton scale, krypton personal scale",
KNCG5122,KNCG5122,Krypton,Krypton KNCG5122 Coffee Grinder,"• High quality plastic housing
 • Capacity 50g
 • Push operation mode 
 • Stainless steel grinding blade
 • Power:150W, 220V-240V, 50/60Hz",Krypton KNCG5122 Coffee Grinder,"Krypton coffe maker, coffe grinder, kitchen item, coffe maker, cofe grinder",
KNCJ5117,KNCJ5117,Krypton,Krypton KNCJ5117 Juier,"• Citrus Juicer/1L 1 filter 1x8
 • Capacity:1L
 • one cone
 • one filter
 • AC:220-240V 
 • 50/60Hz 30W",Krypton KNCJ5117 Juier,"juicer, krypton juicer, kitchen item, kitchen appliances, citrus juicer, kitchen accessories",
KNDI6001,KNDI6001,Krypton,Krypton KNDI6001 Dry Iron,"• Non-Stick Coating Sole Plate
 • Temperature Control 
 • Indicator Light
 • 220-240V 50/60Hz 1200W",Krypton KNDI6001 Dry Iron,"iron, dry iron, home appliance, krypton iron, teflon iron",
KNDI6032,KNDI6032,Krypton,Krypton KNDI6032 Dry Iron,"• Thermostatic pilot lamp indicator offers operational safety
 • Temperature settings dial gives perfect ironing results all over the fabric
 • Non-stick golden teflon soleplate for smooth and non-stick ironing results
 • Super deluxe heavy weight iron
 • Big fabric guide on the body makes it easier to set temperature-sure glide
 • Heal rest makes storing during and after use
 • Interchangeable cord
 • Cord wrap facility reduces clutter
 • Automatic cut off
 • 60 microns Teflon coating
 • 220-240V 50/60Hz 1000-1200W",Krypton KNDI6032 Dry Iron,"iron, dry iron, home appliance, krypton iron, teflon iron",
KNDI6075,KNDI6075,Krypton,Krypton KNDI6075 Dry Iron,"• Dry Iron/heavy weight/Ceramic Soleplate1X6
 • Full plastic housing1.5L plastic jar
 • 2 speeds with pulse 
 • Stainless steel blade
 • Power Copper motor
 • Can blend different kind of fruits
 • Anti-slip free design with coffee grinder
 • AC 220-240V 50-60Hz 400W",Krypton KNDI6075 Dry Iron,"iron, dry iron, home appliance, krypton iron, teflon iron",
KNE5013,KNE5013,Krypton,Krypton KNE5013 Led Emergency,"• AC: 220-240~ 50/60Hz
 • Battery: 4V1600mAh sealed lead-acid Rechargeable battery
 • Light source: 16x0.5W Hi-power LED light
 • Charge time: 6-8 hours (AC)
 • Duration:1 hours /strong light, 4 hours/ weak light
 • Dimension:46x45x136mm",Krypton KNE5013 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5015,KNE5015,Krypton,Krypton KNE5015 Led Emergency,"• Power source: AC 220-240V— 50/60Hz 
 • Battery: 6V1600mAh sealed lead-acid Rechargeable battery
 • Light source: 60pcs bight LED ,lx0.5W Hi-power LED torch 
 • Charge time: 20-24 hours 
 • Duration: torch- 14 hours ,weak light: 10 hours , strong light -3 hours",Krypton KNE5015 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5017,KNE5017,Krypton,Krypton KNE5017 Led Emergency,"• Power source: AC 220-240V, 50/60Hz 
 • Battery: 4V1600mAh sealed lead-acid Rechargeable battery 
 • Light source: 36pcs bright SMD LED light
 • Charge time: 20-24 hours
 • Duration: 1.5-50 hours
 • Measurement: 124x106x240 mm",Krypton KNE5017 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5022,KNE5022,Krypton,Krypton KNE5022 Led Emergency,"• Power source: AC 220-240V ~ 50/60Hz
 • Battery: 4V1600mAh sealed lead-acid Rechargeable battery
 • Light source: 30pcs LED light
 • Charge time: 20-24 hours
 • Duration:2 hours/strong light
 • 10 hours/weak light
 • Dimension: 87x44.5x249mm",Krypton KNE5022 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5023,KNE5023,Krypton,Krypton KNE5023 Led Emergency,"• Power source: AC 220-240V ~ 50/60Hz
 • Battery: 4V1600mAh sealed lead-acid Rechargeable battery
 • Light source: 40pcs bright LED
 • Charge time: 20-24 hours
 • Duration:1 hours/strong light - 25 hours/weak light
 • Dimension: 60x32x190mm",Krypton KNE5023 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5049,KNE5049,Krypton,Krypton KNE5049 Led Emergency,"• Battery: 4V 1200mAH sealed lead-acid
 • Rechargeable battery 
 • Light source:22×0.2W Hi-power led light 
 • Duration:2.5 hours/strong light, 40 hours/full week light
 • Charge time:8-10hours(AC)
 • AC 220-240V 50/Hz 4.4W",Krypton KNE5049 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5050,KNE5050,Krypton,Krypton KNE5050 Led Emergency,"• Battery: 4V 800mAH sealed lead-acid 
 • Rechargeable battery 
 • Light source:18×0.2W Hi-power led light 
 • Duration: 2.5 hours/strong light,40 hours/full week light
 • Charge time: 8-10hours(AC)
 • AC 220-240V 50/Hz 3.6W",Krypton KNE5050 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5051,KNE5051,Krypton,Krypton KNE5051 Led Emergency,"• Battery: 4V 1200mAH sealed lead-acid 
 • Rechargeable battery 
 • Light source: 24×0.2W Hi-power led light 
 • Duration: 2.5 hours/strong light, 10 hours/full week light
 • Charge time:8-10hours(AC)
 • AC 220-240V 50/Hz 4.8W",Krypton KNE5051 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5052,KNE5052,Krypton,Krypton KNE5052 Led Emergency,"• Battery: 4V 1200mAH sealed lead-acid 
 • Rechargeable battery 
 • Light source: 22×0.2W Hi-power led light 
 • Duration: 2.5 hours/strong light,40 hours/full week light
 • Charge time: 8-10hours(DC)
 • Input DC:5V",Krypton KNE5052 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5055,KNE5055,Krypton,Krypton KNE5055 Led Emergency,"• Plastic Torch 1X120
 • Battery: 4V 400mAh sealed lead-acid Rechargeable battery
 • Light source: 0.5W+9×0.5W Hi-power led light
 • Duration: 2.5 hours/Side light4 hours/torch light
 • Charge time: 8-10 hours AC)
 • Ac 220-240V 50/60Hz 5W",Krypton KNE5055 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
